customer_id,order_id,order_date,payment_status,total_amount,utm_source,utm_medium,utm_campaign,first_paid_order_month,order_month,month_index
cust_0647d8bf,ord_20345c40,2024-04-10 18:29:56,paid,59.98,tiktok,cpc,tiktok_campaign_15,2024-04,2024-04,0
cust_0666a7ff,ord_2e180e6c,2024-09-17 08:04:51,paid,147.78,direct,direct,direct,2024-09,2024-09,0
cust_0668b7a7,ord_be8059c8,2024-04-02 21:27:42,paid,122.71,direct,direct,direct,2024-04,2024-04,0
cust_066b0cf3,ord_a3b2d266,2024-12-14 20:04:21,paid,33.94,tiktok,cpc,tiktok_campaign_11,2024-12,2024-12,0
cust_066bc1ff,ord_27276a91,2024-05-25 15:41:21,paid,48.07,meta,cpc,meta_campaign_6,2024-05,2024-05,0
cust_0692d7cd,ord_073e9526,2024-11-04 22:52:08,paid,215.2,meta,cpc,meta_campaign_19,2024-11,2024-11,0
cust_07142331,ord_21b4004a,2024-11-21 09:10:19,paid,102.32,organic,organic,direct,2024-11,2024-11,0
cust_0723977a,ord_c74713f5,2024-02-21 22:48:29,paid,97.76,direct,direct,direct,2024-02,2024-02,0
cust_0733ef3e,ord_dace9411,2024-06-02 21:24:56,paid,180.97,direct,direct,direct,2024-06,2024-06,0
cust_07353a1e,ord_9b49be68,2024-05-07 20:20:56,paid,134.18,direct,direct,direct,2024-05,2024-05,0
cust_075f1792,ord_88628e72,2024-08-01 20:49:50,paid,282.98,direct,direct,direct,2024-08,2024-08,0
cust_078fdb61,ord_86f1efc0,2024-11-18 20:11:02,paid,25.34,meta,cpc,meta_campaign_2,2024-11,2024-11,0
cust_07cf188d,ord_6aa5201c,2024-05-05 22:41:14,paid,126.89,direct,direct,direct,2024-05,2024-05,0
cust_07e6e4d1,ord_3ea917db,2024-05-17 11:12:54,paid,53.07,google,cpc,google_campaign_19,2024-05,2024-05,0
cust_08079db0,ord_932a15ff,2024-11-29 18:15:15,paid,87.46,google,cpc,google_campaign_10,2024-11,2024-11,0
cust_08096668,ord_c9870315,2024-06-06 21:05:16,paid,81.97,direct,direct,direct,2024-06,2024-06,0
cust_0823eff7,ord_a510ed44,2024-01-05 20:30:30,paid,104.35,google,cpc,google_campaign_8,2024-01,2024-01,0
cust_08346900,ord_02044641,2024-07-26 19:49:01,paid,180.14,meta,cpc,meta_campaign_15,2024-07,2024-07,0
cust_08456b8c,ord_1ca8db05,2024-11-21 11:39:07,paid,129.24,direct,direct,direct,2024-11,2024-11,0
cust_085eb17d,ord_f46d1017,2024-01-23 15:51:02,paid,216.15,direct,direct,direct,2024-01,2024-01,0
cust_0892e558,ord_68987fe3,2024-06-13 19:17:08,paid,43.76,organic,organic,direct,2024-06,2024-06,0
cust_08baf85f,ord_98f0ec25,2024-07-27 19:27:48,paid,92.69,meta,cpc,meta_campaign_17,2024-07,2024-07,0
cust_08c55c74,ord_ce086248,2024-04-29 09:54:53,paid,55.26,email,email,email_campaign_7,2024-04,2024-04,0
cust_08d6e44a,ord_b6a7b7e3,2024-08-26 17:32:52,paid,65.65,meta,cpc,meta_campaign_9,2024-08,2024-08,0
cust_08e2593f,ord_ad67f4c2,2024-09-23 10:16:33,paid,39.52,direct,direct,direct,2024-09,2024-09,0
cust_08e897ff,ord_f4918db3,2024-11-07 10:20:19,paid,56.22,organic,organic,direct,2024-11,2024-11,0
cust_08f95c75,ord_0fa5d9d6,2024-08-08 23:29:48,paid,31.82,meta,cpc,meta_campaign_4,2024-08,2024-08,0
cust_092258ff,ord_2e98fc8b,2024-10-07 09:25:49,paid,213.17,google,cpc,google_campaign_8,2024-10,2024-10,0
cust_09497cf3,ord_613fafda,2024-03-06 14:06:19,paid,122.21,organic,organic,direct,2024-03,2024-03,0
cust_09676ea9,ord_4638f426,2024-10-30 19:13:55,paid,119.29,organic,organic,direct,2024-10,2024-10,0
cust_0986407e,ord_0837baed,2024-06-21 22:06:06,paid,122.2,direct,direct,direct,2024-06,2024-06,0
cust_09c473a7,ord_a37d2107,2024-12-07 14:39:27,paid,85.24,direct,direct,direct,2024-12,2024-12,0
cust_09f36b6d,ord_70168d60,2024-07-28 20:21:12,paid,70.0,direct,direct,direct,2024-07,2024-07,0
cust_09f3ec2a,ord_b779f7b3,2024-11-18 19:12:21,paid,242.98,direct,direct,direct,2024-11,2024-11,0
cust_0a2e0299,ord_aa9959fb,2024-06-19 20:56:33,paid,123.4,meta,cpc,meta_campaign_4,2024-06,2024-06,0
cust_0a32b3b5,ord_351c432c,2024-06-24 11:36:10,paid,96.34,google,cpc,google_campaign_13,2024-06,2024-06,0
cust_0a35e893,ord_f97a4422,2024-09-18 20:40:54,paid,89.95,tiktok,cpc,tiktok_campaign_13,2024-09,2024-09,0
cust_0a754690,ord_25deedcb,2024-02-27 21:42:10,paid,97.28,organic,organic,direct,2024-02,2024-02,0
cust_0a9cd414,ord_e32b94dc,2024-08-21 20:43:49,paid,250.61,organic,organic,direct,2024-08,2024-08,0
cust_0a9de5b4,ord_484d441e,2024-09-27 14:00:34,paid,73.78,google,cpc,google_campaign_19,2024-09,2024-09,0
cust_0aa0c0d2,ord_3a5bf427,2024-11-30 08:08:07,paid,90.62,direct,direct,direct,2024-11,2024-11,0
cust_0ac09856,ord_4e53e9de,2024-12-12 11:37:00,paid,45.08,organic,organic,direct,2024-12,2024-12,0
cust_0ae80bdb,ord_addaedff,2024-03-28 11:20:17,paid,84.75,direct,direct,direct,2024-03,2024-03,0
cust_0b1866ed,ord_050c0f67,2024-11-23 21:04:14,paid,61.75,direct,direct,direct,2024-11,2024-11,0
cust_0b859378,ord_2bbba4ae,2024-01-28 11:23:05,paid,101.7,direct,direct,direct,2024-01,2024-01,0
cust_0baca716,ord_3947ae8b,2024-09-23 22:36:07,paid,113.7,organic,organic,direct,2024-09,2024-09,0
cust_0bb04d4b,ord_aaad2f24,2024-12-08 23:20:53,paid,41.56,meta,cpc,meta_campaign_9,2024-12,2024-12,0
cust_0bd461aa,ord_b3e5fde6,2024-03-06 08:00:58,paid,163.84,meta,cpc,meta_campaign_13,2024-03,2024-03,0
cust_0be60790,ord_b40f4985,2024-04-30 08:41:25,paid,100.23,direct,direct,direct,2024-04,2024-04,0
cust_0bec91cb,ord_c0d68819,2024-10-29 18:49:01,paid,270.72,tiktok,cpc,tiktok_campaign_4,2024-10,2024-10,0
cust_0c12ed29,ord_f41b7170,2024-04-27 12:49:25,paid,150.37,organic,organic,direct,2024-04,2024-04,0
cust_0c4f9f04,ord_389c4a04,2024-07-16 19:09:26,paid,187.79,meta,cpc,meta_campaign_1,2024-07,2024-07,0
cust_0c5692c6,ord_e80e7227,2024-06-23 18:16:04,paid,117.9,meta,cpc,meta_campaign_4,2024-06,2024-06,0
cust_0c95ecdc,ord_2ef05b75,2024-02-20 22:31:49,paid,125.52,direct,direct,direct,2024-02,2024-02,0
cust_0cbfe91d,ord_6bbe5602,2024-12-16 13:53:05,paid,132.59,google,cpc,google_campaign_8,2024-12,2024-12,0
cust_0cef175d,ord_7b918ed1,2024-08-21 18:58:20,paid,139.84,direct,direct,direct,2024-08,2024-08,0
cust_0d121561,ord_e2707a16,2024-11-15 19:40:22,paid,59.24,direct,direct,direct,2024-11,2024-11,0
cust_0d41713a,ord_52950293,2024-11-23 20:07:08,paid,96.37,email,email,email_campaign_2,2024-11,2024-11,0
cust_0d57bf77,ord_78eec331,2024-03-25 21:14:25,paid,61.35,direct,direct,direct,2024-03,2024-03,0
cust_0d634881,ord_a24a46bc,2024-02-25 10:38:50,paid,31.37,email,email,email_campaign_9,2024-02,2024-02,0
cust_0d7b4f90,ord_77ee2d3c,2024-11-30 22:41:08,paid,79.09,google,cpc,google_campaign_3,2024-11,2024-11,0
cust_0d9612ac,ord_833e2f05,2024-04-02 19:38:29,paid,81.09,meta,cpc,meta_campaign_12,2024-04,2024-04,0
cust_0ddec26b,ord_829f9449,2024-12-04 10:09:36,paid,126.37,meta,cpc,meta_campaign_14,2024-12,2024-12,0
cust_0de52bb9,ord_d23e4419,2024-12-17 22:22:19,paid,77.98,google,cpc,google_campaign_3,2024-12,2024-12,0
cust_0de59263,ord_23f953fe,2024-10-13 11:20:55,paid,106.23,organic,organic,direct,2024-10,2024-10,0
cust_0deb211f,ord_81ce6cf9,2024-11-28 09:48:57,paid,110.08,direct,direct,direct,2024-11,2024-11,0
cust_0e6e2d56,ord_aa3055e5,2024-10-07 10:29:37,paid,144.16,direct,direct,direct,2024-10,2024-10,0
cust_0e74b445,ord_d4e23b37,2024-12-15 17:55:50,paid,167.35,tiktok,cpc,tiktok_campaign_13,2024-12,2024-12,0
cust_0eb816ac,ord_f8c0f62e,2024-02-27 08:50:14,paid,275.64,meta,cpc,meta_campaign_15,2024-02,2024-02,0
cust_0f12b189,ord_be503ad8,2024-12-05 04:38:02,paid,41.62,meta,cpc,meta_campaign_18,2024-12,2024-12,0
cust_0f41b25c,ord_5696bc3c,2024-05-29 19:08:54,paid,167.23,google,cpc,google_campaign_1,2024-05,2024-05,0
cust_0f461fe1,ord_54ac3c87,2024-03-17 02:47:39,paid,333.02,email,email,email_campaign_3,2024-03,2024-03,0
cust_0f51c251,ord_1aa095a2,2024-10-18 20:28:28,paid,115.01,google,cpc,google_campaign_1,2024-10,2024-10,0
cust_0f725803,ord_dffbc23f,2024-12-14 16:01:51,paid,188.12,direct,direct,direct,2024-12,2024-12,0
cust_0ff0e594,ord_5d02a430,2024-11-24 17:01:31,paid,132.44,meta,cpc,meta_campaign_8,2024-11,2024-11,0
cust_10340e7b,ord_e2fc6cb6,2024-12-15 15:15:57,paid,102.89,direct,direct,direct,2024-12,2024-12,0
cust_10926f77,ord_dfdbc380,2024-09-13 13:17:54,paid,88.87,google,cpc,google_campaign_11,2024-09,2024-09,0
cust_10f61b46,ord_ebff7de4,2024-10-26 05:33:30,paid,161.28,meta,cpc,meta_campaign_10,2024-10,2024-10,0
cust_1104d7ac,ord_9765a858,2024-07-20 09:00:10,paid,343.59,meta,cpc,meta_campaign_16,2024-07,2024-07,0
cust_112a1494,ord_e1c9c7b6,2024-03-18 09:04:28,paid,123.58,direct,direct,direct,2024-03,2024-03,0
cust_11762ee5,ord_ba6026e9,2024-05-09 15:56:40,paid,21.16,meta,cpc,meta_campaign_18,2024-05,2024-05,0
cust_1186daf1,ord_14ee960a,2024-06-29 03:54:39,paid,136.31,meta,cpc,meta_campaign_8,2024-06,2024-06,0
cust_118fed4f,ord_e23f6e75,2024-11-05 11:04:35,paid,47.62,direct,direct,direct,2024-11,2024-11,0
cust_11ab6637,ord_eb3d207b,2024-12-17 12:00:05,paid,50.65,tiktok,cpc,tiktok_campaign_13,2024-12,2024-12,0
cust_11f58b78,ord_67df0c07,2024-09-09 19:46:58,paid,32.23,google,cpc,google_campaign_6,2024-09,2024-09,0
cust_11ff17d2,ord_4fc0ab27,2024-11-27 22:00:59,paid,133.84,google,cpc,google_campaign_6,2024-11,2024-11,0
cust_12471efc,ord_658ccf7d,2024-05-29 10:04:45,paid,87.39,direct,direct,direct,2024-05,2024-05,0
cust_126cfaba,ord_332d027a,2024-10-12 16:10:24,paid,76.17,tiktok,cpc,tiktok_campaign_14,2024-10,2024-10,0
cust_126e3f5a,ord_5cbc8dca,2024-08-14 09:04:11,paid,25.03,direct,direct,direct,2024-08,2024-08,0
cust_12a2bb6d,ord_285a61db,2024-10-30 14:00:28,paid,75.6,google,cpc,google_campaign_4,2024-10,2024-10,0
cust_12e09733,ord_9266bfff,2024-08-10 09:18:01,paid,46.28,meta,cpc,meta_campaign_18,2024-08,2024-08,0
cust_12e8e365,ord_0609794c,2024-06-18 16:41:16,paid,132.63,meta,cpc,meta_campaign_4,2024-06,2024-06,0
cust_12f8dc96,ord_6b585a10,2024-12-30 14:24:32,paid,419.98,direct,direct,direct,2024-12,2024-12,0
cust_13212d2a,ord_8d9aea3f,2024-06-28 14:05:42,paid,89.82,direct,direct,direct,2024-06,2024-06,0
cust_134a5d03,ord_3ebf4826,2024-01-15 14:28:04,paid,106.18,direct,direct,direct,2024-01,2024-01,0
cust_137760fa,ord_924d54f1,2024-09-11 10:24:27,paid,321.86,direct,direct,direct,2024-09,2024-09,0
cust_13bb501b,ord_16dfd47c,2024-12-01 18:23:48,paid,148.22,tiktok,cpc,tiktok_campaign_15,2024-12,2024-12,0
cust_13d6bc05,ord_d3b246e5,2024-07-03 10:16:26,paid,187.32,direct,direct,direct,2024-07,2024-07,0
cust_141cce1a,ord_17177783,2024-11-18 07:31:31,paid,34.87,google,cpc,google_campaign_8,2024-11,2024-11,0
cust_14276e90,ord_251e0635,2024-11-09 17:21:53,paid,115.55,tiktok,cpc,tiktok_campaign_11,2024-11,2024-11,0
cust_14950f00,ord_fe459921,2024-04-29 15:10:51,paid,84.38,google,cpc,google_campaign_8,2024-04,2024-04,0
cust_14aa30d1,ord_481fe726,2024-03-30 15:08:27,paid,305.73,organic,organic,direct,2024-03,2024-03,0
cust_14ae6ac0,ord_183582db,2024-03-20 10:58:04,paid,38.07,google,cpc,google_campaign_14,2024-03,2024-03,0
cust_14b9948a,ord_09e1d544,2024-02-12 12:50:14,paid,130.83,direct,direct,direct,2024-02,2024-02,0
cust_14f9ace7,ord_900c0db2,2024-05-23 18:51:26,paid,145.47,organic,organic,direct,2024-05,2024-05,0
cust_153cee51,ord_15e1cca2,2024-03-14 04:55:52,paid,80.69,direct,direct,direct,2024-03,2024-03,0
cust_155341bb,ord_8569acdf,2024-03-01 22:12:17,paid,36.99,direct,direct,direct,2024-03,2024-03,0
cust_156c4773,ord_a9f65706,2024-12-26 12:26:36,paid,112.06,direct,direct,direct,2024-12,2024-12,0
cust_157d2820,ord_4968b073,2024-12-17 12:46:52,paid,105.72,google,cpc,google_campaign_3,2024-12,2024-12,0
cust_1598bcb0,ord_21bad6c0,2024-08-12 13:25:45,paid,87.76,email,email,email_campaign_1,2024-08,2024-08,0
cust_159e4452,ord_fb2614d6,2024-10-12 14:44:25,paid,228.43,tiktok,cpc,tiktok_campaign_1,2024-10,2024-10,0
cust_15b1808a,ord_9b91aff6,2024-12-20 16:47:25,paid,39.26,direct,direct,direct,2024-12,2024-12,0
cust_15e142e7,ord_0a0b7362,2024-08-30 05:00:22,paid,29.64,organic,organic,direct,2024-08,2024-08,0
cust_15ed0108,ord_b81c6489,2024-06-16 17:06:57,paid,42.34,google,cpc,google_campaign_13,2024-06,2024-06,0
cust_15fb12fb,ord_1d24af31,2024-05-27 12:06:45,paid,353.13,direct,direct,direct,2024-05,2024-05,0
cust_16145cd1,ord_0ff526c0,2024-07-01 18:21:08,paid,113.87,google,cpc,google_campaign_10,2024-07,2024-07,0
cust_1622e41c,ord_5a0f2dc1,2024-10-02 20:25:02,paid,78.53,organic,organic,direct,2024-10,2024-10,0
cust_16627cea,ord_c9a72ad4,2024-03-08 15:38:30,paid,51.2,direct,direct,direct,2024-03,2024-03,0
cust_1696c000,ord_cc6d91db,2024-05-30 22:30:58,paid,228.74,direct,direct,direct,2024-05,2024-05,0
cust_16a4b8b2,ord_2b3efc68,2024-08-15 17:49:11,paid,204.11,direct,direct,direct,2024-08,2024-08,0
cust_16b0d77b,ord_246b260a,2024-09-24 23:51:28,paid,189.46,organic,organic,direct,2024-09,2024-09,0
cust_16b1b885,ord_e43213d7,2024-07-13 09:47:05,paid,68.67,meta,cpc,meta_campaign_6,2024-07,2024-07,0
cust_16eeb354,ord_b2093555,2024-07-15 18:42:13,paid,134.1,meta,cpc,meta_campaign_19,2024-07,2024-07,0
cust_16f5d3fa,ord_fff8194a,2024-03-20 20:54:25,paid,32.24,meta,cpc,meta_campaign_6,2024-03,2024-03,0
cust_1709d4ab,ord_008924f8,2024-06-30 22:03:03,paid,117.19,tiktok,cpc,tiktok_campaign_7,2024-06,2024-06,0
cust_176cb377,ord_b9f70600,2024-09-24 09:51:55,paid,44.35,direct,direct,direct,2024-09,2024-09,0
cust_1778260e,ord_d46823a3,2024-06-23 16:14:55,paid,77.96,google,cpc,google_campaign_5,2024-06,2024-06,0
cust_17f4f075,ord_768822dc,2024-12-02 12:37:14,paid,152.81,organic,organic,direct,2024-12,2024-12,0
cust_17f744c9,ord_d5271c6b,2024-02-04 19:09:31,paid,203.78,direct,direct,direct,2024-02,2024-02,0
cust_1802ee54,ord_2f398df2,2024-07-12 16:37:07,paid,129.65,meta,cpc,meta_campaign_6,2024-07,2024-07,0
cust_180e9670,ord_11674804,2024-04-08 10:15:16,paid,112.45,direct,direct,direct,2024-04,2024-04,0
cust_1810254b,ord_2322d674,2024-11-15 09:36:24,paid,202.28,direct,direct,direct,2024-11,2024-11,0
cust_1819cacc,ord_c6108fce,2024-03-17 08:38:28,paid,35.17,google,cpc,google_campaign_8,2024-03,2024-03,0
cust_182ec3a1,ord_de15da43,2024-04-28 11:33:40,paid,47.21,organic,organic,direct,2024-04,2024-04,0
cust_183cc26a,ord_c041cfc9,2024-03-11 08:21:16,paid,40.15,direct,direct,direct,2024-03,2024-03,0
cust_183fa7a8,ord_8ec58435,2024-02-28 22:16:45,paid,47.05,email,email,email_campaign_5,2024-02,2024-02,0
cust_1888ba4f,ord_35ad7e92,2024-09-07 22:28:44,paid,58.92,meta,cpc,meta_campaign_11,2024-09,2024-09,0
cust_188c331d,ord_250e5586,2024-09-07 11:03:49,paid,188.24,google,cpc,google_campaign_19,2024-09,2024-09,0
cust_18d462ba,ord_e4fd6ca7,2024-10-20 09:00:45,paid,107.69,direct,direct,direct,2024-10,2024-10,0
cust_18d462ba,ord_53405deb,2024-12-31 10:43:36,paid,194.41,direct,direct,direct,2024-10,2024-12,2
cust_18f0c8df,ord_a81d8c03,2024-07-26 19:14:05,paid,60.54,google,cpc,google_campaign_4,2024-07,2024-07,0
cust_19330267,ord_7212c6f3,2024-09-07 20:09:52,paid,136.51,email,email,email_campaign_6,2024-09,2024-09,0
cust_19346961,ord_1e45427b,2024-11-29 10:42:39,paid,86.81,direct,direct,direct,2024-11,2024-11,0
cust_194b093d,ord_12a2f184,2024-10-19 10:45:16,paid,197.21,direct,direct,direct,2024-10,2024-10,0
cust_1953124c,ord_9cf3cb89,2024-10-20 21:05:28,paid,92.95,meta,cpc,meta_campaign_2,2024-10,2024-10,0
cust_1975839e,ord_70788250,2024-10-21 17:08:31,paid,208.28,google,cpc,google_campaign_4,2024-10,2024-10,0
cust_19d5ffac,ord_fdf63b60,2024-12-03 06:25:38,paid,143.78,direct,direct,direct,2024-12,2024-12,0
cust_19dacde3,ord_33eae342,2024-09-02 10:37:31,paid,99.89,organic,organic,direct,2024-09,2024-09,0
cust_19e59b41,ord_f9ba0e37,2024-09-24 20:09:31,paid,132.06,meta,cpc,meta_campaign_5,2024-09,2024-09,0
cust_19fd2b66,ord_519c1d22,2024-10-28 09:10:04,paid,101.95,direct,direct,direct,2024-10,2024-10,0
cust_1a1a592d,ord_2590eff7,2024-06-10 07:54:05,paid,159.63,direct,direct,direct,2024-06,2024-06,0
cust_1afc288f,ord_fa2ba599,2024-01-10 20:51:30,paid,56.67,meta,cpc,meta_campaign_19,2024-01,2024-01,0
cust_1b32556f,ord_cbb595e2,2024-06-19 07:37:41,paid,93.49,google,cpc,google_campaign_16,2024-06,2024-06,0
cust_1b58ce5e,ord_01f7ad2f,2024-08-21 19:55:07,paid,90.64,direct,direct,direct,2024-08,2024-08,0
cust_1b601b8a,ord_0c3ef742,2024-05-08 12:38:16,paid,54.91,organic,organic,direct,2024-05,2024-05,0
cust_1ba9b111,ord_53127f4a,2024-02-25 23:33:05,paid,84.57,tiktok,cpc,tiktok_campaign_6,2024-02,2024-02,0
cust_1bc1c2b3,ord_56f149c2,2024-02-06 02:20:09,paid,90.49,meta,cpc,meta_campaign_13,2024-02,2024-02,0
cust_1bcc792e,ord_9a4be3b4,2024-01-21 07:59:13,paid,81.23,meta,cpc,meta_campaign_2,2024-01,2024-01,0
cust_1c09d71f,ord_153667b2,2024-10-27 17:58:21,paid,145.57,tiktok,cpc,tiktok_campaign_12,2024-10,2024-10,0
cust_1c0ce5d1,ord_3e04fdfd,2024-03-23 17:56:48,paid,67.23,organic,organic,direct,2024-03,2024-03,0
cust_1c1c516b,ord_15644d4a,2024-07-23 15:44:26,paid,99.23,google,cpc,google_campaign_4,2024-07,2024-07,0
cust_1c3e5314,ord_a8be9be5,2024-09-25 13:47:29,paid,85.0,direct,direct,direct,2024-09,2024-09,0
cust_1c95491d,ord_001c45fb,2024-12-13 10:25:06,paid,45.28,email,email,email_campaign_4,2024-12,2024-12,0
cust_1ca1416a,ord_c8f4f322,2024-03-22 15:38:30,paid,51.21,organic,organic,direct,2024-03,2024-03,0
cust_1cc57a37,ord_749afc71,2024-10-07 08:48:37,paid,79.72,organic,organic,direct,2024-10,2024-10,0
cust_1cefc895,ord_10d24dd8,2024-12-09 10:50:17,paid,113.36,direct,direct,direct,2024-12,2024-12,0
cust_1cf8d106,ord_82adb719,2024-05-28 14:49:20,paid,133.93,google,cpc,google_campaign_10,2024-05,2024-05,0
